index,ALUA ,BMA ,BPAT ,FRAN ,EDN ,GGAL ,PAMP ,PESA ,APBR ,ERAR ,TECO2 ,TS ,TRAN 
ALUA ,0.0122,0.0040,0.0074,0.0053,0.0100,0.0076,0.0106,0.0037,0.0039,0.0083,0.0074,0.0063,0.0074
BMA ,0.0040,0.0178,0.0092,0.0119,0.0146,0.0123,0.0128,0.0014,0.0014,0.0061,0.0117,0.0063,0.0073
BPAT ,0.0074,0.0092,0.0223,0.0115,0.0132,0.0147,0.0119,0.0034,0.0103,0.0085,0.0038,0.0101,0.0153
FRAN ,0.0053,0.0119,0.0115,0.0139,0.0125,0.0126,0.0122,0.0041,0.0058,0.0049,0.0083,0.0082,0.0072
EDN ,0.0100,0.0146,0.0132,0.0125,0.0221,0.0149,0.0151,0.0041,0.0077,0.0103,0.0115,0.0099,0.0154
GGAL ,0.0076,0.0123,0.0147,0.0126,0.0149,0.0174,0.0099,0.0032,0.0066,0.0079,0.0099,0.0075,0.0111
PAMP ,0.0106,0.0128,0.0119,0.0122,0.0151,0.0099,0.0759,-0.0008,0.0021,0.0063,0.0098,0.0123,0.0095
PESA ,0.0037,0.0014,0.0034,0.0041,0.0041,0.0032,-0.0008,0.0105,0.0080,0.0056,0.0003,0.0055,0.0041
APBR ,0.0039,0.0014,0.0103,0.0058,0.0077,0.0066,0.0021,0.0080,0.0177,0.0049,-0.0007,0.0109,0.0059
ERAR ,0.0083,0.0061,0.0085,0.0049,0.0103,0.0079,0.0063,0.0056,0.0049,0.0153,0.0070,0.0101,0.0082
TECO2 ,0.0074,0.0117,0.0038,0.0083,0.0115,0.0099,0.0098,0.0003,-0.0007,0.0070,0.0179,0.0045,0.0066
TS ,0.0063,0.0063,0.0101,0.0082,0.0099,0.0075,0.0123,0.0055,0.0109,0.0101,0.0045,0.0221,0.0056
TRAN ,0.0074,0.0073,0.0153,0.0072,0.0154,0.0111,0.0095,0.0041,0.0059,0.0082,0.0066,0.0056,0.0163
